,Views_7_days,Country,Price_EUR,Year_Built
673,42,France,35000.0,2016
674,158,Germany,35000.0,1990
675,51,Turkey,35000.0,1987
676,85,France,35000.0,2004
678,69,France,35000.0,2003
679,38,France,35000.0,2005
681,128,Germany,35000.0,1994
682,92,Portugal,35000.0,2017
683,199,Italy,35000.0,1996
684,172,Netherlands,35000.0,1992
686,49,Netherlands,35000.0,1968
687,48,Germany,35499.0,2020
688,40,Germany,35450.0,2020
689,27,France,35419.0,2020
690,106,Switzerland,35400.0,2020
691,131,Germany,35250.0,2020
692,114,France,35200.0,2016
693,93,France,35200.0,2016
695,355,Switzerland,37254.901960784315,1998
696,325,Switzerland,37254.901960784315,2007
697,486,Switzerland,37254.901960784315,2002
698,320,Switzerland,37254.901960784315,1992
699,915,Switzerland,37254.901960784315,2004
702,283,Switzerland,37205.882352941175,2019
704,65,Germany,36414.0,2020
705,294,Switzerland,38235.294117647056,2005
706,309,Switzerland,38235.294117647056,1992
709,131,Switzerland,38450.98039215686,2020
711,187,Germany,36250.0,2009
712,269,Switzerland,38401.96078431373,2020
715,166,Switzerland,38235.294117647056,2018
716,403,Switzerland,38235.294117647056,1995
717,312,Lake Constance,38186.27450980392,1988
718,267,Italy,36000.0,2000
719,172,Switzerland,39665.686274509804,2019
720,304,Switzerland,39215.686274509804,1996
721,194,Switzerland,39500.0,2020
722,199,Lake Geneva,39117.64705882353,2012
723,144,Switzerland,39254.901960784315,2019
725,109,Germany,37000.0,2020
726,120,Germany,37000.0,2017
727,404,Italy,37000.0,2005
729,109,France,37000.0,2009
730,71,France,37000.0,2004
732,215,Italy,37000.0,2003
734,88,France,38000.0,2002
737,91,Germany,38000.0,2020
739,76,France,38000.0,2019
740,67,France,38000.0,1989
741,131,Italy,38000.0,2020
742,70,France,38000.0,1990
743,103,France,38000.0,2004
747,123,Austria,38000.0,2014
748,82,France,38000.0,2002
751,222,Italy,38900.0,2017
753,161,Netherlands,38900.0,1995
755,113,Croatia (Hrvatska),38900.0,1991
756,133,Switzerland,41176.470588235294,1963
757,84,Switzerland,41176.470588235294,2012
761,60,Germany,38794.0,2020
762,73,Spain,38748.0,2018
763,85,France,38700.0,2020
764,462,Switzerland,41176.470588235294,1993
765,620,Switzerland,41176.470588235294,2000
766,300,Switzerland,41441.17647058824,2020
767,164,Germany,39000.0,2020
768,109,Italy,39000.0,1994
771,77,Croatia (Hrvatska),39000.0,2004
772,251,Italy,39000.0,1979
773,163,Italy,39000.0,2008
774,104,France,39000.0,1974
775,42,Italy,39000.0,1985
777,65,France,39000.0,2018
778,108,France,39000.0,2005
779,21,France,39000.0,2018
780,50,Germany,39888.0,2019
782,70,France,39800.0,2020
783,517,Switzerland,42156.86274509804,1969
784,144,Netherlands,39750.0,1995
787,183,Switzerland,41960.78431372549,2018
788,359,Switzerland,41960.78431372549,1992
790,66,Germany,39500.0,2010
792,116,Italy,39500.0,2004
793,103,Croatia (Hrvatska),39500.0,1999
794,84,Germany,39999.0,2020
795,126,Germany,39999.0,2019
798,41,France,39990.0,2020
803,82,Netherlands,39950.0,2002
804,38,Portugal,39922.0,2019
805,220,Croatia (Hrvatska),39900.0,1992
806,222,Germany,39900.0,1992
807,372,Germany,39900.0,2001
808,213,Germany,39900.0,1993
809,208,Germany,40999.0,2020
810,28,France,40900.0,2020
811,293,Switzerland,40800.0,2005
813,181,Switzerland,43127.450980392154,2017
815,83,Germany,40650.0,2020
818,39,United Kingdom,31834.482758620692,2020
819,118,France,40500.0,1999
820,76,Germany,40465.0,2019
821,114,Germany,40410.0,2020
825,251,Croatia (Hrvatska),41900.0,1996
826,51,France,41900.0,2018
827,82,Germany,41900.0,2019
828,155,Germany,41900.0,2018
829,64,Germany,41900.0,2020
830,29,France,41900.0,2020
831,73,Germany,41900.0,2020
833,144,Portugal,41884.0,2020
835,54,Spain,41766.0,2018
836,55,Germany,41666.0,2020
837,546,Switzerland,44117.64705882353,1969
838,289,Switzerland,44117.64705882353,1993
839,308,Switzerland,44117.64705882353,1999
843,176,Germany,42499.0,2020
844,246,Switzerland,45000.0,2018
846,200,Italy,42300.0,2020
847,491,Germany,42300.0,2003
848,257,Switzerland,44803.92156862745,2019
850,66,Germany,42200.0,2020
